Season,PayrollRank,Club,PayrollPerMillion,FinalStanding
2000,1,NY Yankees,92.53,Won WS
2000,2,LA Dodgers,88.12,DNC
2000,3,ATL Braves,84.53,Lost DS
2000,4,BAL Orioles,81.44,DNC
2000,5,AZ Diamondbacks,81.02,DNC
2000,6,NY Mets,79.5,Lost WS
2000,7,BOS Red Sox,77.94,DNC
2000,8,CLE Guardians,75.88,DNC
2000,9,TX Rangers,70.79,DNC
2000,10,TB Rays,62.76,DNC
2000,11,STL Cardinals,61.45,Lost NLCS
2000,12,COL Rockies,61.11,DNC
2000,13,CHC Cubs,60.53,DNC
2000,14,SEA Mariners,58.91,Lost ALCS
2000,15,DET Tigers,58.26,DNC
2000,16,SD Padres,54.82,DNC
2000,17,SF Giants,53.73,Lost DS
2000,18,LAA Angels,51.46,DNC
2000,19,HOU Astros,51.28,DNC
2000,20,PHI Phillies,47.3,DNC
2000,21,CIN Reds,46.86,DNC
2000,22,TOR Blue Jays,46.23,DNC
2000,23,MIL Brewers,36.5,DNC
2000,24,WSH Nationals,34.8,DNC
2000,25,OAK Athletics,31.97,Lost DS
2000,26,CHC White Sox,31.13,Lost DS
2000,27,PIT Pirates,28.92,DNC
2000,28,KC Royals,23.43,DNC
2000,29,MIA Marlins,20.07,DNC
2000,30,MN Twins,16.51,DNC
2000,31,Leauge AVG,55.65933333,
2001,1,NY Yankees,109.79,Lost WS
2001,2,BOS Red Sox,109.55,DNC
2001,3,LA Dodgers,108.98,DNC
2001,4,NY Mets,93.17,DNC
2001,5,CLE Guardians,91.97,Lost DS
2001,6,ATL Braves,91.85,Lost NLCS
2001,7,TX Rangers,88.5,DNC
2001,8,AZ Diamondbacks,81.2,Won WS
2001,9,STL Cardinals,77.27,Lost DS
2001,10,TOR Blue Jays,75.79,DNC
2001,11,SEA Mariners,75.65,Lost ALCS
2001,12,BAL Orioles,72.42,DNC
2001,13,COL Rockies,71.06,DNC
2001,14,CHC Cubs,64.01,DNC
2001,15,SF Giants,63.33,DNC
2001,16,CHC White Sox,62.36,DNC
2001,17,HOU Astros,60.38,Lost DS
2001,18,TB Rays,54.95,DNC
2001,19,PIT Pirates,52.69,DNC
2001,20,DET Tigers,49.83,DNC
2001,21,LAA Angels,46.56,DNC
2001,22,CIN Reds,45.22,DNC
2001,23,Mil Brewers,43.08,DNC
2001,24,PHI Phillies,41.66,DNC
2001,25,SD Padres,38.33,DNC
2001,26,KC Royals,35.64,DNC
2001,27,MIA Marlins,35.5,DNC
2001,28,WSH Nationals,34.77,DNC
2001,29,OAK Athletics,33.81,Lost DS
2001,30,MN Twins,24.35,DNC
2001,31,Leauge AVG,64.45566667,
2002,1,NY Yankees,125.92,Lost DS
2002,2,BOS Red Sox,108.36,DNC
2002,3,TX Rangers,105.3,DNC
2002,4,AZ Diamondbacks,102.82,Lost DS
2002,5,LA Dodgers,94.85,DNC
2002,6,NY Mets,94.63,DNC
2002,7,ATL Braves,93.47,Lost DS
2002,8,SEA Mariners,80.28,DNC
2002,9,CLE Guardians,78.9,DNC
2002,10,SF Giants,78.29,Lost WS
2002,11,TOR Blue Jays,76.86,DNC
2002,12,CHC Cubs,75.69,DNC
2002,13,STL Cardinals,74.09,Lost NLCS
2002,14,HOU Astros,63.44,DNC
2002,15,LAA Angels,91.72,Won WS
2002,16,BAL Orioles,60.49,DNC
2002,17,PHI Phillies,57.95,DNC
2002,18,CHC White Sox,57.05,DNC
2002,19,COL Rockies,56.85,DNC
2002,20,DET Tigers,55.04,DNC
2002,21,MIL Brewers,50.28,DNC
2002,22,KC Royals,47.25,DNC
2002,23,CIN Reds,45.05,DNC
2002,24,PIT Pirates,42.32,DNC
2002,25,MIA Marlins,41.42,DNC
2002,26,SD Padres,41.42,DNC
2002,27,MN Twins,40.22,Lost ALCS
2002,28,OAK Athletics,39.67,Lost DS
2002,29,WSH Nationals,38.67,DNC
2002,30,TB Rays,34.38,DNC
2002,31,Leauge AVG,68.42266667,
2003,1,NY Yankees,152.74,Lost WS
2003,2,NY Mets,117.17,DNC
2003,3,ATL Braves,106.24,Lost DS
2003,4,LA Dodgers,105.87,DNC
2003,5,TX Rangers,103.49,DNC
2003,6,BOS Red Sox,99.94,Lost ALCS
2003,7,SEA Mariners,86.95,DNC
2003,8,STL Cardinals,83.48,DNC
2003,9,SF Giants,82.85,Lost DS
2003,10,AZ Diamondbacks,80.64,DNC
2003,11,CHC Cubs,79.86,Lost NLCS
2003,12,LAA Angels,79.03,DNC
2003,13,BAL Orioles,73.87,DNC
2003,14,HOU Astros,71.04,DNC
2003,15,PHI Phillies,71.04,DNC
2003,16,COL Rockies,70.78,DNC
2003,17,CIN Reds,59.35,DNC
2003,18,MN Twins,55.5,Lost DS
2003,19,PIT Pirates,54.81,DNC
2003,20,WSH Nationals,51.94,DNC
2003,21,TOR Blue Jays,51.26,DNC
2003,22,CHC White Sox,51.01,DNC
2003,23,OAK Athletics,50.26,Lost DS
2003,24,DET Tigers,49.16,DNC
2003,25,MIA Marlins,49.05,Won WS
2003,26,CLE Guardians,48.58,DNC
2003,27,SD Padres,47.92,DNC
2003,28,MIL Brewers,40.62,DNC
2003,29,KC Royals,40.51,DNC
2003,30,TB Rays,19.63,DNC
2003,31,Leauge AVG,71.153,
2004,1,NY Yankees,182.83,Lost ALCS
2004,2,BOS Red Sox,125.2,Won WS
2004,3,LAA Angels,101.08,Lost DS
2004,4,NY Mets,100.62,DNC
2004,5,PHI Phillies,93.21,DNC
2004,6,CHC Cubs,91.1,DNC
2004,7,LA Dodgers,89.69,Lost DS
2004,8,ATL Braves,88.5,Lost DS
2004,9,SF Giants,82.01,DNC
2004,10,SEA Mariners,81.54,DNC
2004,11,STL Cardinals,75.63,Lost WS
2004,12,HOU Astros,74.66,Lost NLCS
2004,13,AZ Diamondbacks,70.2,DNC
2004,14,CHC White Sox,65.21,DNC
2004,15,COL Rockies,64.59,DNC
2004,16,OAK Athletics,59.82,DNC
2004,17,TX Rangers,54.82,DNC
2004,18,SD Padres,54.63,DNC
2004,19,MN Twins,53.58,Lost DS
2004,20,BAL Orioles,51.21,DNC
2004,21,TOR Blue Jays,50.01,DNC
2004,22,KC Royals,47.6,DNC
2004,23,DET Tigers,46.35,DNC
2004,24,WSH Nationals,43.19,DNC
2004,25,CIN Reds,43.06,DNC
2004,26,MIA Marlins,42.11,DNC
2004,27,CLE Guardians,34.56,DNC
2004,28,PIT Pirates,32.22,DNC
2004,29,TB Rays,29.5,DNC
2004,30,MIL Brewers,27.51,DNC
2004,31,Leauge AVG,68.54133333,
2005,1,NY Yankees,205.93,Lost DS
2005,2,BOS Red Sox,121.31,Lost DS
2005,3,NY Mets,104.77,DNC
2005,4,PHI Phillies,95.33,DNC
2005,5,LAA Angels,95.01,Lost NLCS
2005,6,STL Cardinals,93.31,Lost NLCS
2005,7,SF Giants,89.48,DNC
2005,8,CHC Cubs,87.21,DNC
2005,9,SEA Mariners,85.88,DNC
2005,10,ATL Braves,85.14,Lost DS
2005,11,LA Dodgers,81.02,DNC
2005,12,HOU Astros,76.77,Lost WS
2005,13,CHC White Sox,75.22,Won WS
2005,14,BAL Orioles,74.57,DNC
2005,15,DET Tigers,68.99,DNC
2005,16,AZ Diamondbacks,63.01,DNC
2005,17,SD Padres,62.88,Lost DS
2005,18,MIA Marlins,60.37,DNC
2005,19,CIN Reds,59.65,DNC
2005,20,MN Twins,56.61,DNC
